iter	Logloss
0	0.52439785
1	0.413527298
2	0.3352222681
3	0.2681007624
4	0.2248398304
5	0.1885669231
6	0.1625391364
7	0.1395430803
8	0.1267897964
9	0.1060333967
10	0.0953347683
11	0.08687601089
12	0.07429863214
13	0.06293272972
14	0.058005023
15	0.04994810522
16	0.04615496695
17	0.04380612075
18	0.04096904695
19	0.03580204248
20	0.03463125229
21	0.03022542596
22	0.02645817697
23	0.02409423739
24	0.02164642811
25	0.01983197629
26	0.01818189621
27	0.01722429395
28	0.01653795987
29	0.01601633728
30	0.01500828862
31	0.0142768696
32	0.01383496076
33	0.01316203773
34	0.01261018217
35	0.01195178255
36	0.01133489013
37	0.01092169136
38	0.01052001566
39	0.0101938054
40	0.009600394964
41	0.009301098436
42	0.009084525704
43	0.008735964447
44	0.008531824499
45	0.008155613393
46	0.007996714115
47	0.007657719404
48	0.007160877436
49	0.006837812811
50	0.006716428697
51	0.006384585798
52	0.00613026917
53	0.005967155099
54	0.00586867258
55	0.005585940555
56	0.005470659584
57	0.005364893377
58	0.005255997181
59	0.005076412484
60	0.00488159135
61	0.0047988493
62	0.004658866301
63	0.004539835453
64	0.004454713315
65	0.004346949235
66	0.00419927761
67	0.004129322246
68	0.003985830396
69	0.003890226036
70	0.003807736933
71	0.003746218979
72	0.003642436862
73	0.003544923663
74	0.003502965346
75	0.003401882946
76	0.003338810056
77	0.003286745399
78	0.003197191656
79	0.003105672076
80	0.003032949008
81	0.002949315682
82	0.002904865146
83	0.002863388881
84	0.002819203399
85	0.002772123925
86	0.002712678164
87	0.002665610239
88	0.002631897293
89	0.002582664788
90	0.0025328435
91	0.002485608868
92	0.00244210586
93	0.002393146418
94	0.002362151816
95	0.002321382239
96	0.002285412699
97	0.002251627296
98	0.002218419127
99	0.002186526172
100	0.00215657372
101	0.002124473453
102	0.002094154805
103	0.002066927589
104	0.002039002627
105	0.002013676614
106	0.001989229769
107	0.001959206909
108	0.001935988292
109	0.001913792081
110	0.001891992614
111	0.00186907053
112	0.001846119203
113	0.001824098639
114	0.001804479957
115	0.001784173213
116	0.001764576882
117	0.001746523008
118	0.001727291942
119	0.001708712429
120	0.001691962034
121	0.001675632596
122	0.001659709215
123	0.001644315943
124	0.001629596576
125	0.001613465883
126	0.001598351821
127	0.001583856158
128	0.001568897441
129	0.001555425208
130	0.001541156135
131	0.001528420951
132	0.001514737587
133	0.001502413116
134	0.0014903998
135	0.001477489807
136	0.001464056689
137	0.001452924591
138	0.001442002226
139	0.001427085325
140	0.001415170729
141	0.001404961199
142	0.001393380947
143	0.001382241491
144	0.00137125589
145	0.001360558905
146	0.0013511003
147	0.001341695338
148	0.001330403332
149	0.001321328059
150	0.001312732324
151	0.001304195262
152	0.001295934059
153	0.00128633054
154	0.001276834868
155	0.00126749631
156	0.001259745285
157	0.001251982804
158	0.001243079547
159	0.001235547662
160	0.001228219271
161	0.001219826192
162	0.001212557591
163	0.001204246748
164	0.001197300106
165	0.001188515872
166	0.001181948278
167	0.00117415674
168	0.001167613547
169	0.001161334198
170	0.001154856943
171	0.001148681156
172	0.001142485067
173	0.001135105547
174	0.001129257958
175	0.001123639848
176	0.001117696147
177	0.001111670025
178	0.001106017642
179	0.001098380052
180	0.001092771441
181	0.001087115426
182	0.001080682874
183	0.001075497828
184	0.001070228871
185	0.001065037586
186	0.001060063578
187	0.001054726355
188	0.001049537119
189	0.001044439338
190	0.001039371453
191	0.001034373045
192	0.001029384136
193	0.00102484487
194	0.001020005904
195	0.001015185192
196	0.001010479126
197	0.001006297953
198	0.001001778059
199	0.0009970520623
